session_id,treatment,participant_gender,participant_age,participant_degree,participant_ethnicity,participant_politics,ml_fam,cj_fam,confidence,relative_confidence,self_reported_influence,self_reported_exp_usefulness,self_reported_ra_accuracy,self_reported_ra_fairness,self_reported_exp_ability,accountability,open_response_1,open_response_2,influence,participant_brier_score,false_positive_participant,ra_brier_score,false_positive_ra_black,false_positive_ra_white,false_positive_ra_diff,session_submit_time
3SLE99ER0NDW9ZEWB1ICHZ4KD8JBZF,4,Female,1,5,Asian,Democrat,2,2,3,1,3,2,3,3,3,3,I tried to take it into account if it seemed reasonable but overall I went by my own judgment and ignored the algorithm if it seemed unreasonable,,0.766666667,0.741666667,1,0.804,2,2,0,38:04.0
3E7TUJ2EGCMAI5U3LZFJZ1QR1SI9DK,5,Male,3,8,Asian,Republican,3,3,3,4,2,3,3,3,4,2,,,0.766666667,0.669,0,0.795333333,1,0,1,34:47.5
37Q970SNZE8YVPAQECVFFUU832WS1H,2,Male,2,5,Caucasian,Independent,2,2,3,3,2,1,2,1,3,1,"I barely used it to be honest, I used their age, prior convictions, type of convictions and determined it off that basically. ",,0.633333333,0.664666667,1,0.791,1,2,-1,11:14.0
30BXRYBRP4X26HCD068146D0RMLWHX,5,Female,5,9,African-American,Democrat,1,2,4,4,2,3,3,3,4,2,,I took what the algorithm likely hood of the person repeating the offense into consideration but I often disagreed based on my own feelings about people and how they behave,0.733333333,0.793666667,3,0.833333333,1,1,0,28:21.3
32RIADZISS4FNO791UEHDS1BFCN4S3,1,Female,2,9,Caucasian,Democrat,4,3,4,4,5,4,3,4,5,4,,,0.7,0.677,6,0.772333333,4,0,4,33:11.6
3X4JMASXCM9Z7E86775KB01YV6BB08,5,Male,4,8,Caucasian,Democrat,3,4,4,4,3,3,4,4,2,4,,,0.7,0.727333333,2,0.787333333,3,1,2,02:12.2
3UOUJI6MTDEM03NNAABMP4GXUV2XUZ,5,Male,2,7,African-American,Independent,3,2,3,4,2,2,4,4,3,3,I weighed the prior number of convictions heavily. I feel that someone with over 5 is very likely to commit a crime again for example.,,0.633333333,0.752,3,0.771333333,3,3,0,38:21.9
3180JW2OT4C4K4SJS5ODQJG2JY25J8,2,Female,2,8,Caucasian,Democrat,4,4,4,4,4,3,4,3,4,3,,,0.666666667,0.666,15,0.759333333,3,1,2,04:44.3
3VELCLL3GKJPRK548SVG8VBTE2I1F3,1,Female,3,8,Caucasian,Democrat,4,3,4,4,4,5,4,3,3,3,,,0.866666667,0.766666667,7,0.817333333,0,4,-4,58:30.6
33FOTY3KEMLIO8LUHQ5F0PQQHPQ1CS,1,Male,3,8,Caucasian,Republican,4,3,5,4,4,4,3,4,5,2,"I used it as a baseline, and then deviated if I felt it was necessary.",,0.666666667,0.787666667,3,0.813,4,0,4,50:36.0
3VJ40NV2QINK6HU69EYG1V32ZBUOTU,3,Female,3,5,Caucasian,Republican,2,1,2,2,2,2,3,2,4,1,"Took the information to heart, knowing there is some truth within these generalizations. But, I did not seek the algorithm to be the decision maker. However, the algorithm was omnipresent.","Sometimes things get lost in a vague outline. I appreciated it, but understood common sense/ critical thinking carried more weight.",0.633333333,0.656666667,10,0.787333333,3,1,2,00:58.8
3X4JMASXCM9Z7E86775KB01YUM80BP,2,Male,2,5,Latino/hispanic,Democrat,2,3,4,3,2,2,3,2,4,3,,,0.766666667,0.673666667,1,0.725666667,3,1,2,52:59.0
3ERMJ6L4DYS98GCNJVG24VMFF7U7ME,3,Female,3,8,Caucasian,Independent,3,3,4,3,3,5,3,3,4,3,I took it into consideration each time and tried to incorporate the risk scores into my decisions. I based my choices on their past and what the crime was as well.,"I took the explanation, their past, and all the facts presented and how I felt that the likelihood of them offending again would be.",0.633333333,0.750333333,1,0.768333333,2,3,-1,32:41.7
3IHR8NYAM71IAWRH9DANINW0S1MP4W,2,Female,4,8,Caucasian,Democrat,5,5,5,5,5,4,4,3,5,3,,,0.633333333,0.824333333,3,0.836666667,1,1,0,06:15.5
3K3R2QNK8B3WZ75P7U5891UFNQ19UE,4,Male,3,8,Caucasian,Republican,5,3,5,4,3,4,4,4,3,4,,,0.566666667,0.834333333,1,0.815333333,1,0,1,59:38.1
3IRIK4HM3AKDVUMRNWHWVLH7P06C61,1,Male,4,8,Caucasian,Democrat,4,3,4,5,5,4,4,5,4,3,,,0.666666667,0.716666667,10,0.812666667,4,0,4,23:36.3
3H8DHMCCW9BUZ1DUPW68PA47CKQKDH,3,Male,3,3,Caucasian,Independent,2,3,5,5,1,1,1,1,5,1,I read the information and made my own evaluation,,0.666666667,0.685666667,6,0.778,0,2,-2,32:08.1
3YJ6NA41JBG8DEA2CKXROPLJAP5JPS,1,Male,5,9,Caucasian,Democrat,4,3,3,3,3,3,4,4,4,3,"I looked at number and severity of offenses, age and race and came up with an estimated score. I then compared with the algorithm's score and after reflection entered my estimated score.",,0.8,0.773666667,4,0.778333333,2,1,1,57:27.8
3LO69W1SU3D8VR53CMJHAVKJD92LGF,0,Male,5,8,Caucasian,Republican,3,3,3,3,0,0,0,0,0,0,,,,0.72,2,0.801,,,,09:32.6
3FTYUGLFSULRHISRI922NLLPFXO5DG,5,Male,4,8,Other/unknown,Something else,3,4,5,3,1,1,1,1,5,1,well sionce it dodnt ask how unlikley they were to commit a crime i had only one answer,algorithms are wrotten by biased humans ,0.733333333,0.433333333,0,0.816666667,1,0,1,08:25.1
3EJPLAJKEMGQ3NX1FA146JISYISZ6N,1,Male,2,8,Caucasian,Independent,3,3,4,3,3,3,4,5,4,4,,,0.7,0.789333333,5,0.796333333,2,3,-1,57:35.6
3AAPLD8UCCHAE08J513QHM61NS4HTT,5,Female,3,9,Caucasian,Democrat,1,2,2,3,4,2,3,4,3,2,I used it as a baseline and went up or down a few from it in most if not all cases.,I didn't think age was as important as the other indicator on number of crimes.,0.633333333,0.821333333,2,0.834,1,1,0,51:09.6
3QY5DC2MXRK50HW2AG50JXGQP71FUI,2,Female,4,8,Caucasian,Democrat,4,4,5,5,4,4,5,4,5,4,,,0.7,0.733333333,3,0.801,4,1,3,28:40.5
3X65QVEQI0NVEFPYA0NYK4Z4FIOLCL,0,Male,2,8,Caucasian,Democrat,3,3,4,3,0,0,0,0,0,0,the number of previous offenses and type was important ,,,0.738666667,2,0.755333333,,,,30:30.2
3VJ40NV2QINK6HU69EYG1V32YO7OTW,2,Male,5,6,Caucasian,Republican,3,4,5,3,2,2,3,1,5,1,I thought that there was a bias in the algorithm. It seemed to assign a smaller score for African Americans with comparable stats as Caucasians. ,"After the first few decisions, I skipped reading them. The criteria seemed irrelevant. ""If the defendant was 78...""",0.633333333,0.793666667,5,0.816333333,4,0,4,28:55.0
3LWJHTCVCCMD8OPLT7LV9WJ1N00QFM,3,Male,4,9,Caucasian,Independent,2,3,2,3,1,1,2,1,4,2,I did not.  I based it mostly off of the violence of the crime/accusation and the prior number of convictions.,,0.8,0.660333333,3,0.741,3,0,3,46:25.7
32UTUBMZ7GWF0F9MA4T9WTROOGKVB7,2,Male,3,8,Caucasian,Republican,4,5,4,5,5,5,4,5,3,3,,,0.866666667,0.693,10,0.794,2,2,0,45:56.3
3TS1AR6UQQE326K6X8CP9526I697FY,3,Female,2,4,Caucasian,Independent,3,2,4,3,4,4,3,3,3,3,,,0.833333333,0.640333333,9,0.818666667,3,1,2,21:04.1
3LJ7UR74RHDI7BF4TYXVEYR5T2Y4NP,3,Female,2,8,Caucasian,Independent,2,2,3,3,2,1,2,3,3,4,"I took it into account, but some of the algorithm's scores seemed way off, so I mostly stuck with what I thought when I read the defendant's information. ",I didn't.,0.733333333,0.703666667,1,0.768333333,2,0,2,37:54.2
37W3JXSD668OSC22A6CPQ683GQHWYU,1,Male,2,7,Caucasian,Independent,2,3,3,4,4,2,3,4,4,3,,,0.833333333,0.773666667,2,0.832,2,1,1,08:31.4
3FUI0JHJPXYQLB3QB18XVF1TALB33N,3,Female,2,8,African-American,Democrat,3,4,3,4,2,2,2,3,3,4,,,0.766666667,0.609666667,8,0.839333333,2,1,1,26:37.5
36ZN444YTRYUX3EVF2ZCNO1TNRZIOL,0,Male,3,8,Caucasian,Democrat,5,4,4,4,0,0,0,0,0,0,,,,0.685666667,11,0.839666667,,,,58:10.5
3ND9UOO81K24SDV3RRNZWY6780JLWC,4,Male,3,9,Asian,Democrat,4,2,3,3,2,1,2,3,4,3,,,0.633333333,0.735666667,1,0.766,5,1,4,26:30.0
3OUYGIZWR7Y1B89GQCNL6K6NBOK0P3,2,Male,2,5,African-American,Independent,5,4,4,4,4,3,4,4,4,4,,,0.733333333,0.704666667,10,0.759333333,3,1,2,23:30.3
30ZX6P7VF8VCL79WAMMFSCDQZFDJ25,1,Female,4,7,Caucasian,Republican,2,3,3,3,3,2,3,4,4,4,,,0.733333333,0.747333333,2,0.806666667,1,1,0,55:31.9
3IXEICO792JUHBO29ICMKVHBDUN6TB,2,Male,3,8,Caucasian,Democrat,5,5,3,4,2,2,3,4,4,3,I just wanted to make sure I wasnt far off their score,I didnt use the explanations in my decision.,0.666666667,0.746666667,2,0.779,2,0,2,47:08.7
3KXIR214I4GMIPQB7FZBMAO7I9E247,5,Female,3,10,Asian,Independent,3,3,3,4,3,4,3,4,3,3,"I looked primarily at the risk factors and took those into consideration, and looked at the algorithm's number. If my number was already close or the same, I picked the algorithm number.",It helped to see what made their risk higher or lower. ,0.9,0.730333333,0,0.785666667,1,1,0,31:58.4
3TUI152ZZBNMI9VDM86AKUF7MT2Q1C,4,Female,5,8,Caucasian,Democrat,3,3,3,4,2,3,2,1,4,1,Algorithms are hopelessly racist because cops have always harassed brown and black people so they get charged with more crimes,it helped me understand the problems in relying on algorithms,0.766666667,0.796,2,0.830333333,1,1,0,47:53.2
3K772S5NP8B8PHQMF6EVI060KCVEH2,3,Female,4,9,Asian,Democrat,1,2,2,3,3,3,3,3,3,2,,,0.833333333,0.789,6,0.875,1,2,-1,45:38.0
3WJ1OXY92AGC6T8HWXI394NAV1D8A1,2,Male,2,4,Caucasian,Republican,2,2,4,3,4,1,3,2,2,3,"It kind of was some confirmation my score was accurate, IE if we came around the same conclusion it was probably fairly accurate.",,0.8,0.6,1,0.778666667,1,1,0,12:56.4
3KJYX6QCM9BLIY7YYW6QUHA1WFDJVO,2,Female,5,8,Caucasian,Republican,3,4,4,3,2,1,3,3,5,4,"I made a mental note of what I thought and then looked at what the AI chose. If they were very close, I went with the AI but if they were far off, I went with mine.",None of them seemed really appropriate so I started ignoring them - really high numbers of other convictions or weird crimes/unrelated or extreme age differences.,0.766666667,0.795,9,0.821666667,2,2,0,24:39.4
37UEWGM5HT8MUAADZNVAPKPCILCR1Y,4,Male,2,8,Latino/hispanic,Democrat,2,3,3,3,3,4,5,4,4,3,,,0.766666667,0.674333333,13,0.830666667,1,1,0,35:04.4
3MH9DQ757WCBEHSXL0BI1IG2R4WUGS,4,Female,3,9,Caucasian,Democrat,2,3,3,4,2,2,3,3,2,3,As I looked at them for some I tried to stay within range because they were close but I went up or down by 1 because it was a bit too unreasonable or lax for some reason. I tried to consider the factors listed and what I would give and saw how the score compared or looked at the score then how it compared according to the lists. However some were off the charts outlandish and I ignored them completely.,For some of the scores it did not even seem like the explanations were accounted for properly.,0.766666667,0.792333333,2,0.819,2,0,2,51:50.9
3JZQSN0I3QAMVZV7QBGJFIFZHMKGFS,4,Male,1,8,Caucasian,Democrat,4,4,4,4,5,4,3,4,3,3,,,0.7,0.815,3,0.815,3,0,3,32:40.1
3300DTYQT2HL2APPYW1PREY1ADVQE5,1,Male,3,8,Caucasian,Democrat,3,2,3,3,2,2,3,3,5,3,,,0.666666667,0.742666667,4,0.763666667,3,1,2,03:48.0
3HMVI3QICJSVRBMZDIN4XGI9LZ41Y5,3,Female,4,5,Caucasian,Democrat,2,4,3,3,1,1,2,2,4,2,Younger with more priors I rated higher likely.  Older anad with less priors I rated lower.,,0.833333333,0.835,4,0.819,2,1,1,50:39.8
3KOPY89HM8216P5FEM0KBMII5L13J8,0,Male,2,8,Latino/hispanic,Democrat,4,4,4,5,0,0,0,0,0,0,,,,0.780333333,6,0.784666667,,,,19:05.5
35L9RVQFCOIPEDN856T0MIS3634UHK,4,Male,2,4,Caucasian,Republican,4,4,4,4,2,2,3,3,3,3,,,0.933333333,0.696666667,3,0.770333333,3,0,3,30:50.3
3WJ1OXY92AGC6T8HWXI394NAVSC8AI,1,Male,4,8,African-American,Democrat,4,3,4,5,4,4,4,5,4,3,I thought that the algorithm will be more accurate than human judgement,,0.633333333,0.809333333,3,0.798666667,3,1,2,11:43.6
373ERPL3YO8N3UMM16FKVQ8799KRTX,1,Male,4,8,Caucasian,Democrat,4,2,3,4,2,4,3,3,4,3,,,0.7,0.821666667,4,0.821666667,1,3,-2,48:44.8
33IZTU6J8116LQVJL5GMA3Y98F5XS4,2,Female,4,8,Caucasian,Democrat,3,3,4,4,4,4,4,4,3,3,,,0.833333333,0.777666667,3,0.810666667,3,0,3,38:26.7
3WI0P0II61SGM5QPFGF5QMQL7HNDRG,5,Female,5,4,Caucasian,Independent,2,3,3,3,2,3,3,3,4,4,I did look at the AI score and it had a small impact on my own score. I mostly looked at the other demographics to make my final decision.,Same as above.,0.666666667,0.771666667,4,0.820333333,3,0,3,51:25.4
38JBBYETQOAED52R0ZUCOBXWFC54EC,5,Female,4,8,Caucasian,Independent,2,1,2,3,2,3,3,3,2,3,,,0.8,0.814333333,4,0.842666667,1,2,-1,42:21.9
3SITXWYCNV9744EHAJURKEO959FBXE,4,Female,3,8,Caucasian,Democrat,3,4,3,4,3,3,3,3,4,3,,,0.666666667,0.766,6,0.778333333,3,2,1,01:43.5
3F0BG9B9MPN92X112Y4DYQ9MNRVY71,0,Male,2,8,African-American,Democrat,4,4,4,5,0,0,0,0,0,0,The number of prior crimes ,,,0.723666667,6,0.787,,,,49:26.5
3A0EX8ZRN8OW494RFFGT3SVI7GPYBP,5,Female,3,5,Caucasian,Republican,2,2,4,3,2,5,2,3,2,3,I seen what they had speculated then gave my own opinion depending on the crime and previous conviction. ,,0.633333333,0.817333333,1,0.801,2,0,2,12:50.8
33CUSNVVNNCYN5F2ZZYPDDHF5QQ880,0,Male,5,8,Caucasian,Democrat,3,2,5,5,0,0,0,0,0,0,,,,0.781,2,0.781666667,,,,35:35.0
3II4UPYCOJ7GA4BP21Q5LWGGBTADQ0,5,Female,2,8,African-American,Democrat,2,2,5,5,2,5,2,4,5,3,"I read through the profile, checked the higher and lower risks, looked at the algorithm's risk score and gave my predictions.",The information was important for the predictions. Knowing the crime that was committed and previous records was important.,0.666666667,0.775666667,6,0.797333333,3,2,1,31:10.7
3YMU66OBIN869VMDL14JI3RCXYVGHI,5,Male,3,9,Two or more,Independent,2,2,4,3,2,3,1,2,5,3,,,0.766666667,0.656,1,0.759,3,0,3,14:39.1
32M8BPYGATM65QXXRJM4IFSRWJTGI9,1,Female,1,9,Caucasian,Democrat,4,4,4,4,4,4,3,4,3,3,,,0.7,0.703666667,11,0.846,0,0,0,02:05.3
33C7UALJVLYGC5VH0EPAY3U7RQT811,0,Male,1,8,Caucasian,Democrat,4,3,4,5,0,0,0,0,0,0,Previous conviction rate and type of crime.,,,0.763333333,2,0.805666667,,,,09:39.5
3SKRO2GZ71R076XI93MDO83YMY01K6,1,Female,2,7,Caucasian,Democrat,5,4,2,3,3,5,3,4,5,1,I always looked at it but used the information presented to actually make my own decision logically.,,0.7,0.777666667,3,0.811333333,2,1,1,11:27.3
3M1CVSFP605ICX8DIRZ3VV8APQLAQ2,0,Female,4,9,Caucasian,Democrat,3,3,4,4,0,0,0,0,0,0,,,,0.805,2,0.851666667,,,,51:35.0
3KOPY89HM8216P5FEM0KBMII6I0J3I,3,Female,4,4,African-American,Democrat,1,2,2,3,2,2,3,2,3,3,"after i read the charges i looked at the algorithm score to see if i thought it was too low or too high, based more on the number of prior convictions, including the juvenile record; age was a factor too, but only slightly",i gave the explanation more weight if it seemed fair; it would give a higher or lower score even if the person was in his 90s if they also had more prior convictions,0.766666667,0.814,3,0.806,2,1,1,28:14.1
3N4BPTXIO8SGG3OGBRWXZA8VXYUKUR,2,Male,4,9,African-American,Republican,3,4,3,4,4,4,3,2,4,3,,,0.8,0.707666667,5,0.797666667,0,1,-1,20:43.6
39OWYR0EPKRMHQG7KH2PMIM3MC7YFT,4,Female,2,8,Caucasian,Republican,3,4,5,4,3,4,5,4,3,4,,,0.733333333,0.841666667,3,0.888333333,0,1,-1,26:16.0
3DY4FPOOA1O2GMQB61FZW8WS62RVRO,2,Female,5,5,Caucasian,Independent,1,1,1,3,4,4,3,3,2,2,I based my deciisions on their scores,Their age and past history.,0.766666667,0.840333333,3,0.836,2,0,2,22:21.7
34FNN24DCM9UFTNIE5PG06VQXJMY55,4,Female,4,7,Caucasian,Republican,4,3,4,3,2,2,2,2,4,4,I looked at the algorithms number but I also looked at the age of the person and the offenses involved.,I felt that the older the person with no offenses would not reoofeend.  Persons with multiple convictions I increased the chances.,0.766666667,0.665333333,1,0.824,1,0,1,48:44.5
3L2IS5HSFAIHO99J84ODR2PZRCHUNQ,0,Male,3,8,Caucasian,Democrat,2,2,4,3,0,0,0,0,0,0,,,,0.766666667,3,0.761333333,,,,29:00.9
3N4BPTXIO8SGG3OGBRWXZA8VXHCUKL,0,Male,4,8,Caucasian,Democrat,4,5,4,5,0,0,0,0,0,0,"prior convictions, and current charges being midemeanor or felony",,,0.703666667,1,0.805333333,,,,58:31.7
3907X2AHF0587ICU5ZRZP8Z28EJP2B,1,Female,2,8,Caucasian,Democrat,3,4,4,3,3,2,3,2,5,4,I looked at what the number was and then looked at age and prior history.,,0.766666667,0.713666667,0,0.797666667,2,1,1,49:35.7
3137ONMDKG5UPLVBV0WDX0UZ4QMGE0,1,Male,2,9,Caucasian,Democrat,5,3,5,3,3,4,5,4,3,5,na,,0.8,0.705333333,9,0.766666667,5,2,3,13:14.5
3FTF2T8WLRI9RBUU2UK9RPFC86C9WD,4,Male,3,8,Caucasian,Democrat,2,2,3,3,3,3,3,3,3,3,"I usually stayed in the ballpark, and sometimes used its factors.","At least I know mainly how it got its score, and I'd consider that.",0.766666667,0.768333333,3,0.755666667,4,1,3,17:01.8
3S06PH7KSR4ST0R8HM0QKV882P21DS1,1,Female,4,8,Caucasian,Democrat,5,5,5,5,2,4,5,5,4,3,"while i choosing decision ,my eys just look at the prdicvtion of system algorithm.that impacts on my decison.",,0.7,0.71,9,0.763666667,5,1,4,51:49.4
34HJIJKLP5WVFGODVPJMOFLIF24V4V,3,Male,2,4,Caucasian,Republican,1,2,4,4,2,4,3,3,4,2,"I incorporated the algorithm's risk score into my decision slightly, by using it as a guide in comparison to what I thought the defendants risk score is. If the algorithm's risk score was close to the risk score that I thought, then I was more likely to be comfortable choosing the risk score I chose. However, if my chosen risk score was contradicting in comparison to the algorithm's, then I had a harder time choosing a risk score.","I incorporated the explanations into my decisions, by using them as a guide to decide the likelihood of the defendant committing a crime. For example, if the defendant had a high number of previous crimes then they were more likely to commit another crime. ",0.666666667,0.838666667,3,0.827,5,0,5,11:03.8
37W3JXSD668OSC22A6CPQ683GQKYWZ,1,Male,6,8,Caucasian,Republican,4,3,5,4,4,5,4,5,4,4,I have always tried to analyze and understand the decision of the algorithm.,,0.733333333,0.784666667,7,0.783,6,2,4,07:52.3
36U2A8VAG1ZXXC8LLSTM2VE8TJ8YK0,1,Female,4,8,Caucasian,Democrat,2,3,3,3,3,3,4,3,5,4,,,0.666666667,0.703333333,5,0.685,6,3,3,55:22.5
33M4IA01QG1UKBV66GGHKTTDNUSRXF,3,Female,4,8,African-American,Democrat,1,2,3,2,4,4,3,3,3,3,,,0.8,0.805666667,2,0.805333333,1,2,-1,33:50.5
3A1PQ49WVHH95GWA3IJGBGN6V8NH1S,5,Male,2,4,Caucasian,Democrat,5,5,5,4,4,3,3,4,2,2,,,0.733333333,0.752666667,3,0.754333333,3,1,2,32:58.1
3VA45EW49NNJXXIX7VE6VPK76B9O1S,2,Male,4,9,Caucasian,Republican,4,4,4,4,4,4,4,4,4,4,,,0.733333333,0.749666667,9,0.820333333,1,3,-2,53:23.1
3GD6L00D3SXVXUXLUFZT3LV2B3UM1V,1,Male,2,8,African-American,Democrat,4,4,4,4,3,4,3,4,5,3,,,0.666666667,0.711333333,3,0.756,1,2,-1,03:58.8
3R2UR8A0IAGRNY3QEOZDQYO8C7QOXL,4,Female,3,9,Caucasian,Republican,2,3,4,3,2,5,4,4,4,3,I did not use this very much.,I evaluated the proportion of high risk and low risk factors to come to a score that seemed to represent that the best.,0.8,0.797333333,3,0.831666667,1,0,1,59:34.1
3VE8AYVF8MX72KPP7D4VN5Y1SG98FV,2,Female,3,8,Caucasian,Democrat,5,5,5,5,5,4,5,5,5,3,,,0.633333333,0.712666667,11,0.795,1,2,-1,56:35.9
3I0BTBYZAXLVKM1HHZJ4JBZZGBC0YN,4,Male,4,11,Asian,Independent,3,3,4,3,3,4,4,4,3,3,,,0.633333333,0.772,4,0.765666667,4,0,4,09:19.6
3MTMREQS4VINWU4ZU0Y9NKQWDLTAWL,0,Male,3,8,Latino/hispanic,Democrat,2,3,4,4,0,0,0,0,0,0,"Prior criminal history was the most important factor followed by age (e.g. I expected younger defendants to be more likely to commit another crime before trial), the type of crime committed (misdemeanor vs felony), and finally gender (I expected males to be more likely to commit another crime than females). ",,,0.689,0,0.815333333,,,,05:15.7
3TAYZSBPLL85KASMXGVTKD4DWQ6S2V,5,Male,3,4,Caucasian,Republican,3,3,3,3,4,3,4,3,3,4,,,0.6,0.692,12,0.81,3,1,2,05:29.1
3X4MXAO0BGOFVBQGWBKVIAF6EVERWK,5,Female,4,8,Caucasian,Democrat,2,2,3,3,2,3,3,3,2,3,,,0.7,0.784666667,5,0.804333333,4,0,4,27:41.5
39DD6S19JPBUG2QGLSK2I7A5G6WEZK,4,Male,3,8,African-American,Democrat,1,1,5,4,1,5,2,3,5,5,,,0.7,0.750666667,2,0.752666667,2,2,0,45:24.0
3OUYGIZWR7Y1B89GQCNL6K6NC5I0P0,3,Female,2,8,Other/unknown,Independent,3,4,3,3,3,3,3,4,3,4,,,0.766666667,0.765333333,5,0.751333333,4,3,1,14:03.2
3J4Q2Z4UTY3FJABGJWVVDK51ICJQWV,4,Female,4,8,Caucasian,Democrat,2,2,3,2,2,3,4,3,3,1,,,0.666666667,0.795666667,5,0.815,3,1,2,46:59.1
3YOH7BII097GTIDGGH62VWAEB26VKO,1,Female,3,4,Caucasian,Republican,2,2,3,3,3,4,4,5,4,4,,,0.8,0.844333333,2,0.824666667,2,1,1,59:27.9
3BV8HQ2ZZW1P2FPT3IL5PQRJQNVA6O,4,Female,6,7,Caucasian,Independent,3,2,3,3,1,3,3,3,3,4,"I observed the algorithm's risk score but really went with my ""gut"" feeling about the defendant.",,0.7,0.735,5,0.768666667,3,1,2,58:40.9
3E13VNJ1NNV91B7U9011BSOLVG61IZ,3,Female,3,8,Caucasian,Democrat,4,3,3,3,4,4,4,4,3,4,,,0.7,0.832333333,4,0.842333333,2,2,0,10:31.9
3WOKGM4L71GJQ8XFBCA6HK1X1E2O0E,2,Male,2,7,Latino/hispanic,Independent,2,3,2,3,4,2,3,2,2,2,,,0.7,0.768,6,0.791666667,6,1,5,45:07.7
3YGXWBAF70HZG7ID48OHYNXTU0R4CI,5,Male,2,4,Caucasian,Democrat,3,3,5,5,5,5,5,5,5,2,none,none,0.766666667,0.647666667,11,0.836333333,0,1,-1,10:04.0
3YJ6NA41JBG8DEA2CKXROPLJAFUJPX,0,Male,3,7,Caucasian,Independent,3,2,3,3,0,0,0,0,0,0,"Age, and number of prior crimes.",,,0.616,0,0.77,,,,01:23.3
3VJ40NV2QINK6HU69EYG1V32YM0TOQ,1,Male,3,5,African-American,Democrat,4,3,4,4,3,3,3,3,4,4,,,0.6,0.785333333,5,0.844,3,0,3,05:18.5
3U0SRXB7CD5P8HH24AT8MR2FKRYNRS,1,Male,3,9,Caucasian,Democrat,4,3,4,4,4,4,4,4,4,4,,,0.7,0.612666667,14,0.767666667,2,3,-1,46:09.0
3OS4RQUCR9FQ4INWAPO5E7O214JFBR,4,Male,5,9,Two or more,Republican,2,2,3,3,5,4,4,5,4,1,I went with the AI score except a couple which I thought the AI was wrong,,0.6,0.767,5,0.749,4,2,2,10:42.4
3EA3QWIZ4IVAAVJ3BJLBHY7GMZGIT7,0,Male,3,8,Asian,Democrat,3,4,4,4,0,0,0,0,0,0,My principle that once make a crime the chance of doing the crime again is high,,,0.653,12,0.755,,,,38:26.6
3KJYX6QCM9BLIY7YYW6QUHA1X2OVJM,4,Male,3,10,Caucasian,Democrat,2,3,3,3,4,2,3,3,3,3,"I relied heavily on it when making my decisions, though found it somewhat high in some instances. ",I looked at them to see what it focused on and compared it to my own preconceptions. ,0.666666667,0.797333333,3,0.804,3,0,3,41:06.2
3DUZQ9U6SMOEH1QOLQF4MI1OSO6VSC,0,Male,2,8,Caucasian,Republican,2,2,3,3,0,0,0,0,0,0,,,,0.800666667,3,0.776666667,,,,24:08.6
3H7Z272LX77E84Y2F59444YBF3XPL2,3,Female,5,9,Latino/hispanic,Democrat,3,3,4,3,2,1,2,5,4,3,"I think the algorith's risk scores were too high, so I didn't incorporate them much in my decision.",I didn't incorporate the data.,0.7,0.576333333,0,0.745666667,0,0,0,16:55.3
34S9DKFK73PY5ITOI5L2UNVCNMCNY9,2,Male,2,7,Latino/hispanic,Republican,3,3,3,3,3,2,3,3,2,4,,,0.766666667,0.706666667,7,0.84,1,1,0,16:59.4
30BXRYBRP4X26HCD068146D0QU4HWG,1,Female,3,9,African-American,Democrat,2,3,3,3,2,2,2,2,4,3,"I tried to use the AI score as a reference point, to base my predictions on. Majority of my predictions were close to the AI's score.",,0.766666667,0.789,5,0.836,2,2,0,59:51.0
3BEFOD78W6TCPTU4HXIV1J25ODE4MH,4,Female,4,8,Caucasian,Independent,2,2,3,3,4,3,4,4,4,4,"I always looked at the algorithm's score to see if it had assigned a score similar to what I was already thinking. If it was close, or the same, I would stick with my score or occasionally switch to the algorithm's score. If the score was quite different, then I would read the case against the person again to see if I missed something.",,0.7,0.822333333,3,0.802,1,3,-2,52:14.4
3VHHR074H3HP2YU2JJFN4I7QFAE7L2,4,Male,3,8,Caucasian,Independent,2,2,4,3,3,3,3,3,2,3,I just went with my gut and didn't really rely on the algorithm. ,,0.6,0.779666667,3,0.796333333,3,2,1,52:02.0
3RKNTXVS3MYBNSLFKUSQSS75USBA4H,3,Male,5,5,Caucasian,Independent,3,3,3,3,2,1,3,3,3,5,I didn't look until after I decided.,,0.7,0.803333333,3,0.806666667,3,0,3,45:40.6
3FIUS151DV2S9ZR21VM1X3FBHSGGG4,0,Male,2,9,Caucasian,Republican,3,3,3,4,0,0,0,0,0,0,,,,0.674,13,0.820666667,,,,00:06.7
3Z3ZLGNNSIUISC9S9CKT8NU4KELQ3B,4,Female,2,9,Latino/hispanic,Democrat,2,2,4,3,3,4,2,2,4,3,"I made my initial judgement based on the information provided (e.g. age, number of previous crimes, nature of current crime, etc.) and then compared that to the algorithm. If I agreed with a) how they weighed the factors (from most to least important) and b) their rating, I was more inclined to align my score with the algorithm's score.","It shed light on what factors the algorithm considered important and how that was incorporated into the score. As such, it was nice to have a visual comparison against which I could evaluate how I interpreted facets of the case.",0.7,0.752,3,0.747333333,5,2,3,50:09.5
3NOKK93PR18W57ZKP56PXX9NSSYEE9,3,Male,2,9,Caucasian,Something else,2,2,3,3,3,1,4,2,2,3,I used the algorithm mostly to confirm my own intuitions.,I didn't make use of the explanations. I found them irrelevant to the actual case at hand.,0.8,0.712333333,2,0.743666667,3,0,3,52:14.9
